SL.,kVA,Make,LT fusing count,Average KVA loading till the month of failure,LT fault,updated make Score,NEW/REP,% average KVA loading,Peak Current,normalised peak heat index,O/D,Cooling Circuit choked observation ,godown overhauling,Age
1,315, MARSONS,0,35.761,0,5.5,0,11.35,0.498,0,1.4,1,0,18
2,315,TRANSPOGEAR MFG. CO. (I) PVT. LTD.,0,48.546,0,5.5,1,15.41,0.516,0,1.4,1,0,25
3,315, KIRLOSKAR,0,143.229,0,6,0,45.47,0.979,25.1875,1.4,1,0,30
4,315, MARSONS,0,143.228,0,5.5,0,45.47,0.771,25.875,1.4,1,0,24
5,400,RAYCHEM RPG LIMITED,0,124.336,0,2,0,31.08,0.851,0.6875,1.4,1,0,12
6,400, RTS,3,232,5,4,0,58,1.3527,944.5454545,1.1,1,0,8
7,315, KIRLOSKAR,0,130.227,0,6,0,41.34,1.331,30.75,1.4,1,0,24
8,315, MARSONS,0,73.453,0,5.5,0,23.32,0.61,0.6875,1.4,1,0,27
9,315, BRENTFORD,0,99.46,0,6,0,31.57,0.887,0,1.4,1,7,39
10,315,ABHAY TRANSFORMERS,0,31.893,0,4,0,10.12,0.748,0,1.4,1,0,22
11,400,MAHESH ELECTRICAL INDUSTRIES,1,192.287,5,2,1,48.07,1.375,377.5625,1.4,0.5,0,4
12,315, KIRLOSKAR,0,100.073,0,6,0,31.77,0.865,0,1.4,1,0,30
13,300,BEI,0,64.594,0,4,1,21.53,0.776,69.8125,1.4,1,0,23
14,400, RTS,0,44.044,0,4,0,11.01,0.915,0,1.1,1,0,12
15,315,RTS,0,147.319,0,2,1,46.77,1.004,9,1.4,1,0,11
16,315, MARSONS,0,79.1375,0,5.5,0,25.12,0.582,0,1.4,1,0,25
17,315,DEKEM ENGG. PVT. LTD.,0,23.565,0,1,0,7.48,0.582,0,1.4,1,0,5
18,315,POWER EQUIPMENT,0,120.124,0,5.5,1,38.13,0.94,0,1.4,1,0,33
19,315,BEI,0,35.512,0,4,1,11.27,0.411,0,1.4,1,0,22
20,315,POWER EQUIPMENT,0,21.835,0,5.5,0,6.93,0.2182,0,1.4,1,5,41
21,400,RTS,4,268.441,5,4,0,67.11,1.353,4893.909091,1.1,1,0,11
23,400,RTS,0,203.723,0,4,1,50.93,1.113,30.18181818,1.1,1,0,6
24,400,RTS,0,107.441,0,2,0,26.86,1.113,5.75,1.4,1,5,12
25,315,ABHAY TRANSFORMERS,0,90.047,0,4,0,28.59,0.524,0,1.4,1,0,15
26,400,RAYCHEM RPG LIMITED,0,30.967,0,3,0,7.74,0.524,0,1.1,1,5,13
27,315,BEI,0,148.78,0,4,1,47.23,1.004,84.0625,1.4,0.5,5,22
28,315,ABHAY TRANSFORMERS,1,127.167,5,4,0,40.37,1.136,187.5,1.4,1,0,25
29,300,BEI,0,63.156,0,4,1,21.05,1.025,0.609375,1.4,1,0,30
30,400,RTS,0,1134.29,0,2,1,283.57,0.764,0,1.4,1,0,13
31,400,RAYCHEM RPG LIMITED,6,206.136,5,3,0,51.53,1.046,26.27272727,1.1,1,0,8
32,315,L&S,0,82.504,0,4,0,26.19,0.693,104.4375,1.4,1,0,13
33,315,BEI,0,142.033,0,4,0,45.09,0.887,26.8125,1.4,1,0,19
34,315,GEC,1,107.279,5,6,0,34.06,0.8073,0,1.4,1,5,33
35,400,L&S,0,194.483,0,4,0,48.62,1.375,346.9375,1.4,1,0,15
36,500,L&S,4,247.56,5,2,0,49.51,1.34,1124.545455,1.1,1,0,1
37,400,CROMPTON,0,99.352,0,8,0,24.84,0.829,0,1.4,1,0,44
38,400,Raychem RPG Limited,1,185.57,5,3,0,46.39,1.19,1184.418182,1.1,1,0,14
39,400,Raychem RPG Limited,4,457.127,5,2,0,114.28,1.244,98.3125,1.4,1,0,11
40,400,L&S,0,43.69,0,5,1,10.92,0.567,0,1.4,1,0,21
41,400,TECHNICAL ASSOCIATES LIMITED,0,106.627,0,3,0,26.66,0.873,5.8125,1.4,1,0,13
42,315,GEC,0,116.178,0,6,0,36.88,1.047,17.0625,1.4,1,0,24
43,400,TELAWNE POWER EQUIPMENT PVT LTD.,0,190.296,0,3,0,47.57,1.071,30.18181818,1.1,1,5,10
44,315,L&S,0,141.704,0,5,1,44.99,1.331,143.625,1.4,1,5,22
45,315,GEC,1,127.267,5,6,0,40.4,1.108,108.75,1.4,1,0,31
46,315,MARSONS,0,95.6,0,5.5,1,30.35,0.896,0,1.4,1,0,26
47,315,PACHAL TRANSFORMERS PVT. LTD,0,111.889,0,1,1,35.52,0.829,1,1.4,1,5,11
48,400,RAYCHEM RPG LIMITED,0,209.16,0,3,0,52.29,1.09,79.36363636,1.1,1,0,9
49,315,MARSONS,0,67.8,0,5.5,0,21.52,0.48,0,1.4,1,0,27
50,315,TRANSPOGEAR MFG. CO. (I) PVT. LTD.,0,77.726,0,5.5,1,24.67,1.122,38.5625,1.4,1,0,23
51,400,L&S,4,267.54,5,2,1,66.89,1.5,4893.909091,1.1,1,0,1
